Name,Business Value,Specialty Popularity,Attention Heat,Predicted Heat,Carrying Capacity,V Index,Weibo fans(w),Weibo hypertalk(w),Group friend,Classes,Genders
133,47.52 ,12.65 ,60.69 ,3.58 ,46.97 ,72.63 ,135.10 ,,,3.00 ,0.00 
134,47.46 ,12.77 ,58.82 ,3.78 ,53.79 ,,11.80 ,4.00 ,,3.00 ,1.00 
135,47.42 ,9.60 ,61.05 ,1.82 ,48.69 ,64.26 ,33.70 ,0.07 ,76.00 ,3.00 ,1.00 
136,47.41 ,12.82 ,60.82 ,4.72 ,44.46 ,54.86 ,84.60 ,0.44 ,98.00 ,3.00 ,1.00 
137,47.40 ,5.11 ,62.70 ,1.82 ,44.91 ,,1.30 ,,,3.00 ,0.00 
138,47.36 ,11.88 ,58.04 ,3.54 ,57.09 ,54.99 ,17.50 ,0.10 ,107.00 ,3.00 ,0.00 
139,47.32 ,36.12 ,57.02 ,3.15 ,45.13 ,,265.10 ,0.49 ,,3.00 ,1.00 
140,47.32 ,36.12 ,57.02 ,3.15 ,45.13 ,,,,,3.00 ,1.00 
141,47.24 ,14.18 ,58.40 ,5.03 ,51.85 ,67.37 ,276.00 ,0.08 ,49.00 ,3.00 ,1.00 
142,47.16 ,6.59 ,68.94 ,1.82 ,17.46 ,,,,,3.00 ,0.00 
143,47.06 ,13.59 ,63.14 ,2.08 ,35.12 ,,,,,3.00 ,0.00 
144,75.66 ,79.24 ,68.62 ,91.32 ,61.74 ,75.74 ,4226.50 ,4.20 ,1078.00 ,1.00 ,1.00 
145,75.64 ,59.91 ,73.24 ,69.22 ,78.16 ,83.71 ,1925.30 ,131.00 ,11000.00 ,2.00 ,0.00 
146,75.55 ,61.45 ,75.51 ,49.15 ,87.49 ,92.66 ,4802.80 ,148.00 ,3565.00 ,1.00 ,1.00 
147,75.52 ,67.76 ,72.84 ,68.15 ,74.81 ,82.97 ,529.00 ,1.30 ,1793.00 ,1.00 ,0.00 
148,75.50 ,66.11 ,69.50 ,85.19 ,72.07 ,79.32 ,987.20 ,45.00 ,2569.00 ,1.00 ,1.00 
149,75.49 ,80.62 ,66.48 ,97.81 ,61.83 ,47.08 ,3942.00 ,2.90 ,766.00 ,1.00 ,1.00 
150,75.35 ,72.95 ,70.01 ,73.95 ,75.75 ,87.97 ,2472.30 ,112.00 ,1950.00 ,1.00 ,0.00 
151,75.32 ,53.20 ,70.97 ,79.47 ,79.39 ,78.24 ,2442.10 ,131.00 ,3271.00 ,2.00 ,0.00 
152,75.00 ,67.83 ,74.28 ,56.93 ,76.93 ,76.88 ,1098.60 ,6.70 ,1163.00 ,1.00 ,0.00 
153,74.88 ,67.28 ,71.26 ,76.66 ,68.89 ,79.14 ,1192.00 ,25.00 ,5122.00 ,1.00 ,1.00 
154,74.74 ,62.56 ,72.97 ,67.56 ,73.38 ,81.97 ,2482.10 ,3.40 ,1419.00 ,1.00 ,0.00 
155,74.61 ,86.96 ,73.89 ,63.97 ,56.24 ,80.13 ,5544.50 ,6.10 ,3452.00 ,1.00 ,1.00 
156,74.46 ,63.70 ,80.36 ,32.13 ,76.75 ,94.43 ,8147.00 ,187.00 ,2614.00 ,2.00 ,1.00 
157,74.31 ,62.48 ,76.59 ,59.52 ,64.28 ,88.74 ,5616.30 ,264.00 ,17000.00 ,2.00 ,1.00 
158,74.08 ,72.65 ,66.36 ,80.87 ,75.61 ,73.89 ,735.70 ,19.30 ,2413.00 ,1.00 ,0.00 
159,74.06 ,65.10 ,69.37 ,72.83 ,76.50 ,80.68 ,797.70 ,3.60 ,1254.00 ,1.00 ,0.00 
160,73.99 ,73.94 ,67.17 ,74.89 ,76.89 ,86.17 ,2428.00 ,21.30 ,4694.00 ,1.00 ,1.00 
161,73.89 ,59.55 ,77.76 ,37.45 ,80.97 ,93.98 ,2173.50 ,3085.00 ,1.50 ,2.00 ,1.00 
